,job_title,job_link,company_name,company_link,salary,currency,category,contract,experience,benefit,requirement,industry,company_size,company_location,job_location,posted,updated,scrapped_time
690,Marketing Executive,https://glints.com/vn/opportunities/jobs/marketing-executive/91511985-11fa-402e-aee8-5aea44d41ebb,Starlink Financial Technologies Joint Stock Company,https://glints.com/vn/companies/starlink-financial-technologies-joint-stock-company/e4dc64f2-01af-44d0-ad10-384119d5e864,,,Marketing,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"Social Media Marketing,Digital Marketing,Content Writing,Customer Insight",Financial Services,11-50 nhân viên,"Địa chỉ văn phòng87A Ham Nghi, Nguyen Thai Binh Ward, District 1",Ho Chi Minh City,21 ngày trước,nhật 21 ngày trước,2022-11-11 14:55:13
691,Marketing Manager,https://glints.com/vn/opportunities/jobs/marketing-manager/0bc53df0-546f-47fe-9ede-2d550235e550,GOODFOOD,https://glints.com/vn/companies/goodfood/e9c8a549-9b74-4d5b-96b1-070bbeaec530,,,Marketing,Việc làm fulltime,5 - 10 năm kinh nghiệm,,"People Management,People Management Skills,Marketing Management,Strong Leadership Skills,Organizational Leadership",,201-500 nhân viên,,Ho Chi Minh City,4 tháng trước,nhật 7 ngày trước,2022-11-11 14:55:17
692,Nhân viên IT,https://glints.com/vn/opportunities/jobs/nhan-vien-it/aac451ff-980d-47b3-8583-4c1a1ad6989b,CÔNG TY TNHH BỆNH VIỆN THẨM MỸ Á ÂU,https://glints.com/vn/companies/cong-ty-tnhh-benh-vien-tham-my-a-au/a803f102-21c8-4bab-92c6-e2722929e7df,VND900 - 1.000/year,VND,Other,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"- Solving problem quickly and ex,Good Attitude,Good Communication Skills",,51-200 nhân viên,"Địa chỉ văn phòng32D Thủ Khoa Huân, P.Bến Thành, Quận 01, TP.Hồ Chí Minh",Ho Chi Minh City,8 tháng trước,nhật 9 ngày trước,2022-11-11 14:55:22
693,Odoo/Python Developer,https://glints.com/vn/opportunities/jobs/odoo-python-developer/3a9df506-b875-4244-a297-6bd345cd46b9,District Eight,https://glints.com/vn/companies/district-eight/b13a595a-16b4-4ddf-a014-18dc4550de6d,,,Other,Việc làm fulltime,Dưới một năm kinh nghiệm,,"ERP Software,Erp/ Odoo Erp,Python,Odoo Developer,Python (Programming Language)",Furniture,51-200 nhân viên,"Địa chỉ văn phòngE4/52, 1A Highway, Binh Tri Dong B Ward, Binh Tan District, Ho Chi Minh City, Vietnam",Ho Chi Minh City,1 tháng trước,nhật hôm qua,2022-11-11 14:55:26
694,Marketing Lead (HMC),https://glints.com/vn/opportunities/jobs/marketing-lead-hmc/9d11b7d7-4edd-4de7-a77e-bbc3d1df09c1,ADI CONSULTING COMPANY LIMITED,https://glints.com/vn/companies/adi-consulting-company-limited/74b309f0-f7dd-47ea-bb39-79ff66fe6f6c,IDR100 - 200/month,IDR,Marketing,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"Marketing,Affiliate Marketing,Game Development",Information Technology and Services,,,Ho Chi Minh City,6 ngày trước,nhật 6 ngày trước,2022-11-11 14:55:33
695,(Entry Level) Business Development ,https://glints.com/vn/opportunities/jobs/entry-level-business-development/4b06d5b9-c23d-4b3d-8c75-fda89bd9932f,Telestar,https://glints.com/vn/companies/telestar/56ba4dd8-f845-445c-988a-87a568971a23,VND7.000.000 - 15.000.000/month,VND,Business Development / Sales,Việc làm fulltime,Dưới một năm kinh nghiệm,,"New Business Development,Business Process,Business Development",Marketing and Advertising,11-50 nhân viên,"Địa chỉ văn phòng207 đường số 05 Lakeview City, Quận 2, TP.HCM",Ho Chi Minh City,8 ngày trước,nhật 7 ngày trước,2022-11-11 14:55:37
696,Tester (Manual),https://glints.com/vn/opportunities/jobs/tester-manual/d1ac4bab-c08b-4d43-88ba-105476c4d2c5,Smartosc,https://glints.com/vn/companies/smartosc/8200681c-8158-447d-84dc-6fdb49a0796a,VND32.000.000/month,VND,Software Engineering,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"SDLC,Agile/Scrum,Testing Methodologies,Writing Sql Queris",Marketing and Advertising,501 - 1000 nhân viên,,Hà Nội,hôm qua,nhật hôm qua,2022-11-11 14:55:41
697,[Glints 5 Ngày] Senior Strategic Planner,https://glints.com/vn/opportunities/jobs/glints-5-ngay-senior-strategic-planner/63814e5c-c5e1-4bd3-a6fc-f3865bff06b3,Creatory,https://glints.com/vn/companies/creatory/1be5c816-3cd6-4d37-a198-a87b020ff9b4,VND25.000.000 - 35.000.000/month,VND,Other,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"Strategic Planner,Strong Communication And Interpersonal Skills,Fluent In English Both Oral And Written",Online Media,51-200 nhân viên,"Địa chỉ văn phòng77 Doan Nhu Hai, Dist 4",Ho Chi Minh City,hôm qua,nhật hôm qua,2022-11-11 14:55:46
698,Marketing Coordinator (Brand & Digital Products),https://glints.com/vn/opportunities/jobs/marketing-coordinator-brand-and-digital-products/63309365-092d-48a9-96e0-18c0caf30a1d,Unios Vietnam,https://glints.com/vn/companies/unios-vietnam/4710299c-415b-4a81-8938-f84e875ff588,,,Marketing,Việc làm fulltime,,,"Problem Solving,Excellent English Skills,Good Communication Skills",,11-50 nhân viên,"Địa chỉ văn phòngSố 37 lô J đường Đoàn Phú Tứ, Phường An Lạc A, Quận Bình Tân, Thành phố Hồ Chí Minh, Việt Nam",Ho Chi Minh City,8 tháng trước,nhật 23 ngày trước,2022-11-11 14:55:51
699,Senior Strategic Planner ,https://glints.com/vn/opportunities/jobs/senior-strategic-planner/0afcf7c9-dced-41c8-b4fa-e890a35a108c,Blueseed Group,https://glints.com/vn/companies/blueseed-group/a99c6180-6da4-4243-ae1d-9682a988e90b,,,Marketing,Việc làm fulltime,1 - 3 năm kinh nghiệm,,"Digital Media,Strategic Planning,Advertising",Marketing and Advertising,51-200 nhân viên,"Địa chỉ văn phòng17-19 Tôn Thất Tùng, Quận 1, Hồ Chí Minh",Hà Nội,hôm qua,nhật hôm qua,2022-11-11 14:55:56
700,[HCM] UX/ UI Designer,https://glints.com/vn/opportunities/jobs/hcm-ux-ui-designer/36bdc8dc-78f7-4dbc-8d86-85bc9b30b0c5,Medici,https://glints.com/vn/companies/medici/72be7208-91d1-4bd4-9942-a8a73554d93e,,,Software Engineering,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"UI/UX Design,Information Architecture,Wireframing",Hospital & Health Care,51-200 nhân viên,"Địa chỉ văn phòngTầng 7, Tòa nhà Peak View, số 36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, TP Hà Nội",Ho Chi Minh City,26 ngày trước,nhật 13 ngày trước,2022-11-11 14:56:03
701,[HN] UX/ UI Designer,https://glints.com/vn/opportunities/jobs/hn-ux-ui-designer/0b34815c-d34f-461b-83cf-825e8cc7d3b9,Medici,https://glints.com/vn/companies/medici/72be7208-91d1-4bd4-9942-a8a73554d93e,,,Software Engineering,Việc làm fulltime,3 - 5 năm kinh nghiệm,,"UI/UX Design,Information Architecture,Wireframing",,51-200 nhân viên,"Địa chỉ văn phòngTầng 7, Tòa nhà Peak View, số 36 Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, TP Hà Nội",Hà Nội,26 ngày trước,nhật 11 ngày trước,2022-11-11 14:56:07
702,Nhân Viên kinh Doanh Phần Mềm,https://glints.com/vn/opportunities/jobs/nhan-vien-kinh-doanh-phan-mem/9a875d1a-2e0c-40c5-b7e3-9178de776bb6,Công Ty Cổ Phần Giải Pháp Công Nghệ Gadget,https://glints.com/vn/companies/cong-ty-co-phan-giai-phap-cong-nghe-gadget/7603cc38-d912-4d42-b95f-ae7bc622c938,VND7.000.000 - 15.000.000/month,VND,Business Development / Sales,Việc làm fulltime,Dưới một năm kinh nghiệm,,"Kỹ năng giao tiếp,Kỹ Năng Bán Hàng,Kỹ Năng Đàm Phán",,51-200 nhân viên,"Địa chỉ văn phòngLô E2a-10, Đường D2b, Khu Công nghệ cao, phường Long Thạnh Mỹ, thành phố Thủ Đức, TP.HCM, Hồ Chí Minh, Việt Nam",Ho Chi Minh City,1 tháng trước,nhật 12 ngày trước,2022-11-11 14:56:11
703,Purchasing Officer,https://glints.com/vn/opportunities/jobs/purchasing-officer/b80c9337-820b-413d-a4fc-4b2b359dcfbf,Rohto-Mentholatum Việt Nam,https://glints.com/vn/companies/rohto-mentholatum-viet-nam/634fe024-b0a0-4aeb-8ecf-1c4f8cedab37,,,Finance,Việc làm fulltime,,,"Tốt Nghiệp Đại Học,Fluent In Engslih,Ms Office",Pharmaceuticals,1001 - 5000 nhân viên,"Địa chỉ văn phòng16 VSIP đường số 5 Khu công nghiệp Việt Nam - Singapore, P. Bình Hòa, Thành phố Thuận An, Tỉnh Bình Dương",Ho Chi Minh City,1 tháng trước,nhật 2 ngày trước,2022-11-11 14:56:16
